properties.level,properties.speed,properties.day_of_week,properties.weekday_weekend,X,Y,MaxInjuryS,LightCondi,Commercial,NumberOfFa,NumberOfIn,NumberOfOt,NumberOfSe,NumberOfVe,Intersecti,interstate_is_odd,year,day_sin,day_cos,month_sin,month_cos,hour_sin,hour_cos,minute_sin,minute_cos,curve,grade,WET,DRY,UNKNOWN,FLOODED WATER,SNOW/ICE,SLUSH,two_way,divided,protected_medium,CLOUDY,CLEAR,RAIN,SLEET/HAIL/FREEZING RAIN,SNOW,CollisionT,CrashType,TrafficCon,CountyName,CityTownNa,properties.delay,properties.length,Predicted Delay,Predicted Length
1.0,46.192811,0,0,-76.110234998492,42.8928560111371,0,0,0,0,0,0,0,2,2,1,2022,-0.5712682150947924,0.8207634412072763,1.0,6.123233995736766e-17,0.9422609221188204,-0.3348796121709861,-0.9968120070307502,0.0797861055530826,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,overtaking,collision with motor vehicle,none,onondaga,lafayette,1.3833333333333333,3.31190743,1.1645777,3.3467913
1.0,41.103772500000005,0,0,-73.7392416165895,42.6592162743822,0,3,0,0,0,0,0,1,0,0,2022,-0.2993631229733582,-0.9541392564000488,0.4999999999999999,0.8660254037844387,0.9976687691905392,-0.0682424133646708,0.97142989326471,-0.2373266998711148,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,other,collision with guide rail,none,albany,albany,1.2666666666666666,2.629642072,1.4231416,2.365524
2.0,21.85987477777778,0,0,-78.9363261792286,42.9984491981987,0,0,0,0,0,0,0,2,0,0,2022,-0.9884683243281114,0.1514277775045766,0.4999999999999999,0.8660254037844387,-0.816969893010442,-0.5766803221148672,0.5528000653611936,-0.8333139190825148,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,overtaking,collision with motor vehicle,none,erie,tonawanda,1.5333333333333334,0.899745208,1.6075767,1.0343995
1.0,39.95423388888889,3,0,-73.0898292702495,40.8150784186894,0,0,0,0,0,0,0,1,1,1,2021,0.5712682150947923,0.8207634412072763,1.2246467991473532e-16,-1.0,-0.1361666490962464,-0.9906859460363308,-0.97142989326471,-0.2373266998711151,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,other,collision with tree,none,suffolk,brookhaven,0.8833333333333333,1.468921044,0.9099315,1.6065081
1.0,42.98653033333333,5,1,-76.1617595546682,42.6089024927637,0,0,0,0,0,0,0,1,0,1,2022,0.6513724827222223,-0.758758122692791,1.0,6.123233995736766e-17,-0.9422609221188204,-0.3348796121709864,0.5528000653611936,-0.8333139190825148,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,other,collision with guide rail,none,cortland,cortland,2.966666666666667,5.688030134,2.2615104,3.7427886
2.0,29.850721555555555,1,0,-73.8116701159906,42.6880506788312,0,3,0,0,0,0,0,1,0,1,2022,0.7907757369376989,-0.6121059825476626,0.4999999999999999,0.8660254037844387,0.9976687691905392,-0.0682424133646708,-0.8993121301712191,-0.4373073204588555,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,other,collision with other,none,albany,albany,2.8833333333333333,2.713527157,1.8283707,1.9934676
1.0,35.85317722222223,1,0,-76.1409366318706,43.0287394909984,0,2,0,0,0,0,0,1,1,0,2022,0.7907757369376989,-0.6121059825476626,0.4999999999999999,0.8660254037844387,0.9790840876823228,0.2034560130526337,-0.8477344278896709,-0.5304209081197426,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,other,collision with guide rail,none,onondaga,syracuse,1.2833333333333334,1.944269859,1.050374,1.8219068
2.0,29.390906111111114,4,0,-73.7241219315392,42.678347720155,0,0,0,0,0,0,0,1,0,1,2022,-0.9377521321470804,0.3473052528448203,0.8660254037844386,0.5000000000000001,0.1361666490962471,-0.9906859460363306,0.6783118362696161,0.7347741508630673,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,other,collision with sign post,none,albany,menands,1.1,0.989844003,2.487253,1.4765596
3.0,17.100163555555557,4,0,-73.9955214563735,41.5193549066556,0,3,0,0,0,0,0,3,0,0,2022,-0.72479278722912,0.6889669190756865,0.4999999999999999,-0.8660254037844387,0.8878852184023752,0.4600650377311522,0.847734427889671,-0.5304209081197424,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,other,collision with motor vehicle,no passing zone,dutchess,fishkill,1.6833333333333331,0.691585923,1.7300107,0.73354524
2.0,25.376841555555558,4,0,-73.9955214563735,41.5193549066556,0,3,0,0,0,0,0,3,0,0,2022,-0.72479278722912,0.6889669190756865,0.4999999999999999,-0.8660254037844387,0.8878852184023752,0.4600650377311522,0.847734427889671,-0.5304209081197424,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,other,collision with motor vehicle,no passing zone,dutchess,fishkill,1.2,0.923357306,1.2098215,1.2590715
1.0,36.21357311111112,4,0,-73.7241219315392,42.678347720155,0,0,0,0,0,0,0,1,0,1,2022,-0.9377521321470804,0.3473052528448203,0.8660254037844386,0.5000000000000001,0.1361666490962471,-0.9906859460363306,0.6783118362696161,0.7347741508630673,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,other,collision with sign post,none,albany,menands,1.5333333333333334,2.186604549,1.2122909,1.6913366
2.0,30.229758611111112,4,0,-73.7241219315392,42.678347720155,0,0,0,0,0,0,0,1,0,1,2022,-0.9377521321470804,0.3473052528448203,0.8660254037844386,0.5000000000000001,0.1361666490962471,-0.9906859460363306,0.6783118362696161,0.7347741508630673,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,other,collision with sign post,none,albany,menands,2.25,2.186604549,2.4836836,1.480996
3.0,19.98954438888889,5,1,-78.8224369967947,43.0042890854833,0,0,0,0,0,0,0,3,0,0,2022,-0.651372482722222,-0.7587581226927911,0.8660254037844386,0.5000000000000001,-0.6310879443260528,-0.7757112907044198,0.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,other,collision with motor vehicle,traffic signal,erie,tonawanda,1.3333333333333333,0.6685951960000001,1.5407497,0.7984531
1.0,38.93518344444445,0,0,-73.9405054075377,41.5301111270104,1,3,0,0,1,1,0,1,0,0,2022,-0.2993631229733582,-0.9541392564000488,0.4999999999999999,0.8660254037844387,0.9976687691905392,-0.0682424133646708,0.2631025642275216,-0.9647678688145158,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,other,collision with guide rail,none,dutchess,fishkill,2.1,3.356024771,4.1818395,4.166182
1.0,43.62654372222222,1,0,-73.8037355234224,42.6867586663987,1,0,0,0,1,1,0,1,0,1,2022,-0.651372482722222,-0.7587581226927911,0.8660254037844387,-0.4999999999999998,0.9976687691905392,-0.0682424133646708,-0.9213119778704132,0.3888241754733201,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,other,other non collision,none,albany,albany,1.05,2.540164648,1.4137759,3.4485664
1.0,42.40865416666666,0,0,-73.947644486983,41.5297513310597,0,0,0,0,0,0,0,2,0,0,2022,-0.2993631229733582,-0.9541392564000488,0.4999999999999999,0.8660254037844387,0.1361666490962471,-0.9906859460363306,0.6783118362696161,0.7347741508630673,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,overtaking,collision with motor vehicle,other,dutchess,fishkill,1.0333333333333334,1.997707765,2.326855,4.684139
1.0,39.593838,1,0,-75.8597638313872,42.161240869391,0,3,1,0,0,0,0,1,0,0,2022,-0.651372482722222,-0.7587581226927911,0.8660254037844387,-0.4999999999999998,0.5195839500354336,0.8544194045464886,-0.63824418364482,-0.7698339834299063,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,other,collision with tree,none,broome,fenton,1.1833333333333331,2.304043668,2.4893699,2.8433855
4.0,2.3612144444444447,4,0,-73.9309359123939,40.8175517439407,0,2,0,0,0,0,0,3,0,1,2022,0.9680771188662044,-0.2506525322587204,-1.0,-1.8369701987210294e-16,0.730835964278124,0.6825531432186541,0.4132121857683781,0.9106347728549132,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,other,collision with motor vehicle,none,bronx,bronx,2.7333333333333334,0.116817748,4.1487327,0.11717359
4.0,7.065002166666667,5,1,-76.1276601876729,42.7720088887589,0,0,0,0,0,0,0,2,0,1,2021,0.9680771188662044,-0.2506525322587204,-0.8660254037844386,0.5000000000000001,-0.1361666490962464,-0.9906859460363308,-0.8183027759081689,0.574787410214407,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,rear end,collision with motor vehicle,none,cortland,preble,17.066666666666666,2.229479148,16.164099,0.16217087
1.0,43.55197905555556,3,0,-78.9338540370638,42.9965783773886,0,2,0,0,0,0,0,3,0,0,2022,0.5712682150947923,0.8207634412072763,0.8660254037844386,0.5000000000000001,-0.979084087682323,0.2034560130526333,0.7164567402983153,-0.6976315211349846,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,other,collision with motor vehicle,none,erie,tonawanda,1.75,4.457715554,1.3947628,4.054268
