Model,Fold,Training Time,R2 Delay,R2 Length,MAPE Delay,MAPE Length,RMSE Delay,RMSE Length,MAE Delay,MAE Length
XGBoost,1,1.899585485458374,0.8204686277433366,0.6770284487454532,0.2937597102287416,0.24058967857354424,1.0134821541010857,1.2708988800853342,0.5983665551130588,0.7251215112232683
RandomForest,1,0.9141354560852051,0.25689368864269235,0.6098403895839819,0.35703652268493974,0.41680963774930124,2.061918074132374,1.3968507867230775,0.8966916666666656,0.9090230059459805
SupportVectorRegression,1,0.021644115447998047,0.026330272213641925,0.14064354813836144,0.3407811817179327,1.4767539308338575,2.360216077593247,2.073077476826135,0.9818556770820734,1.368218933628952
KNearestNeighbors,1,0.0006196498870849609,-0.2516015318757947,0.31927759619384,0.6296373818175194,0.9769710460480021,2.675956033506036,1.8450744052788979,1.2614957264957265,1.320262812026923
LinearRegression,1,0.07611680030822754,-0.3542122198500681,0.4027155038213267,1.156118060441004,0.8590961120581764,2.7834876246814577,1.7283014057381763,2.0416507417757,1.200290889959729
ArtificialNeuralNetwork,1,209.38654899597168,0.09626844737229867,0.5888015605704251,0.33814210133692174,0.4716795176784601,2.2738701119778573,1.4340179618944353,0.8977615049252143,0.9753513755804148
ProposedModel,1,215.38395500183105,0.7689634242357781,0.5603369838398083,0.37136431670717973,0.6565148920312661,1.14970468259248,1.4828213474414735,0.7808593978484472,1.0499221245142742
XGBoost,2,2.1015875339508057,0.9306527836074782,0.6991364997939231,0.24106690821955307,0.47805874630386047,0.722432725370886,0.8478710095211583,0.45176349817178185,0.5644428791204579
RandomForest,2,0.9129211902618408,0.9307041238776907,0.6755223254956217,0.2580710790171871,0.6242327766012402,0.7221652542267476,0.8805163905005989,0.4949352564102551,0.5775352057849357
SupportVectorRegression,2,0.020583629608154297,0.015226020761454073,0.22815855276398544,0.3216425728570344,1.2547690733400747,2.7223952389381862,1.3580291191441276,0.9990047960258046,1.0511756384769941
KNearestNeighbors,2,0.0004928112030029297,0.044304320252252505,0.24537337569814288,0.4984330672521435,1.5658050279604072,2.681900774009625,1.342799268695301,1.1399786324786323,1.1217355741564103
LinearRegression,2,0.015334844589233398,-0.6118790919818786,0.3220207006152981,1.339563272824691,0.7294729822623366,3.4829651198171168,1.2727797327035164,2.299419255760709,0.9813263932816567
ArtificialNeuralNetwork,2,170.74680852890015,0.9448527139011546,0.6651959429687848,0.210702426365679,0.4916851786657474,0.6442359659752217,0.894417710604302,0.4328852747495357,0.5338745932747744
ProposedModel,2,298.3859746456146,0.9535525093519321,0.6640906868369809,0.22238144495077408,0.7708633352223883,0.591240291186528,0.8958928213778258,0.42175999665871644,0.6878144540225162
XGBoost,3,7.346027374267578,0.7779344292750443,0.41910295806007103,0.2618181486893405,0.3536894108381829,3.426722389829808,1.2206605092380298,0.8837090839178133,0.8045671248339257
RandomForest,3,0.9225277900695801,0.5478921964787506,0.48687080223318646,0.33484804168698357,0.31560291817095176,4.889442111189162,1.1472516096516756,1.2262528846153868,0.7402362490910979
SupportVectorRegression,3,0.020687580108642578,-0.004921962731508023,-0.03226328781715848,0.30336123163174933,0.7184577726998208,7.289613057897726,1.627198566811206,1.561279718033559,1.112923334970224
KNearestNeighbors,3,0.0005140304565429688,0.07646559422478472,0.20334850827603035,0.5271889462633189,0.6656183851160922,6.9881922916604955,1.429484658829328,1.8049786324786323,1.0784610671538462
LinearRegression,3,0.014541864395141602,0.23976763485306896,0.3916996191852611,0.6586904415084509,0.41228318360179783,6.340324480246202,1.2491205585471608,1.8598482387063284,0.9389253743938286
ArtificialNeuralNetwork,3,74.48857855796814,0.8811917978779621,0.24465051792093495,0.327938844332225,0.4220585915579563,2.506464275545142,1.3919360406158485,0.9181622207164764,0.9338798106905937
ProposedModel,3,421.1569707393646,0.8094255032371633,0.4857104783850945,0.2516665200250483,0.28515895965143695,3.174466131126259,1.1485480002259068,0.8934205090388273,0.7057757813513914
XGBoost,4,5.590970277786255,0.2402894545914428,0.31904234548787214,0.3857432393087027,0.6952572189387412,1.266524367157979,1.382137199732945,0.6968997325652684,0.8279089751281344
RandomForest,4,0.9433493614196777,0.23965234090320897,0.5407310836950068,0.5076360243565736,0.5752223693618629,1.267055326554535,1.1350751856435704,0.7641631410256436,0.7743435183710561
SupportVectorRegression,4,0.019193172454833984,-0.21176564987120194,0.2360522947016378,0.3749136077312869,0.9672626883935103,1.5995535758046817,1.4639387896620246,0.7805114446744648,0.9194721689543501
KNearestNeighbors,4,0.00048089027404785156,-0.553743260004288,0.19785282637891588,0.5283151767348774,1.0575223320115485,1.8112529308429508,1.5000928179655983,0.9089316239316239,1.1176759502897435
LinearRegression,4,0.01529550552368164,-0.3476284810679635,0.4297482884211723,0.8015299277432965,0.7086009330433872,1.686842609807002,1.2648074112283143,1.2596518116489113,0.8721847514798937
ArtificialNeuralNetwork,4,79.71305966377258,0.27594633791815737,0.6072238493494408,0.3809340703176624,0.34490303491837326,1.2364451335207505,1.0496962791558468,0.7046572219102811,0.7043887472820968
ProposedModel,4,189.57744121551514,0.7264585656817446,0.6209736318385626,0.26916045159121593,0.3808350767550603,0.7599780207479676,1.0311594234652033,0.45817660651145836,0.7401000245304279
XGBoost,5,3.01542592048645,0.031963225904324655,0.35488523590229293,0.5117804480004373,0.6595857939453432,3.9203902887793234,1.357722279295727,1.3056322041230324,0.9800718891495303
RandomForest,5,0.8940198421478271,0.8823133386234729,0.08720505858192451,0.49854681254506983,0.701041548310799,1.3669322759563725,1.6150243186140514,0.8756756410256394,1.0971752918924378
SupportVectorRegression,5,0.019575119018554688,-0.023529467358462952,-0.05514175863361004,0.34988000301732086,0.7198687834858359,4.031192637002064,1.7363923326997963,1.298811389499871,1.280829154884531
KNearestNeighbors,5,0.0005307197570800781,0.19393074353190354,-0.022384222868608417,0.5988848228626655,0.6713900234962324,3.5774169105846125,1.7092261294343625,1.453611111111111,1.3678964755833332
LinearRegression,5,0.033057212829589844,0.5124210987623847,0.3459791289502414,0.7352137764499871,0.5521937121525601,2.782312001169285,1.3670621457347023,1.511936645251685,1.1073947220707543
ArtificialNeuralNetwork,5,65.06739044189453,0.9177116165402783,0.054501387464301,0.45600664911203526,0.6747941893651533,1.1430168751852297,1.643701312122789,0.8243320877735432,1.2104659849666286
ProposedModel,5,180.57428288459778,0.8380892754115404,-0.0013635108206508928,0.4890024052084692,0.6880366490496941,1.6033235994793544,1.6915636142307908,1.0290712045553403,1.2575943373375518
XGBoost,6,1.5887880325317383,0.41745640976570053,0.4007352074321323,0.44853284995052217,0.45343952189575265,1.2512870058147978,1.4406171351957124,0.821586121656956,0.9433079605342436
RandomForest,6,0.8656809329986572,0.45060610107781274,0.2610617280745754,0.43761119146143074,0.3988304541857937,1.215163277776277,1.5997174228786546,0.7991480769230771,0.9583391191141367
SupportVectorRegression,6,0.02188706398010254,-0.028624694042430843,0.06330847283953944,0.3804796809498737,0.8285194066151843,1.6627279363110097,1.8010986074510564,0.9580930721915569,1.2561513818367185
KNearestNeighbors,6,0.0005383491516113281,0.052596119511918005,0.22721567738332749,0.5466953052864801,0.5788612858387187,1.595733271059005,1.6359436714381366,1.0005555555555554,1.160299611001282
LinearRegression,6,0.07090449333190918,-0.2823178454582571,0.2334048256361435,0.7628277524827382,0.4933669838511997,1.8564812343784236,1.6293794516945208,1.3207554639605428,1.1308549412048599
ArtificialNeuralNetwork,6,117.07505702972412,0.48210496694021465,0.20371251895744447,0.40052791861523257,0.42553349628964793,1.1798141308938632,1.6606348145695475,0.8054137951288467,1.1435438384131251
ProposedModel,6,477.6048114299774,0.5403330607937873,0.31398902718825583,0.35351059735265883,0.38895469686994427,1.1115125100589671,1.5413622761274053,0.6938120647882803,0.9855780980176756
XGBoost,7,2.7289750576019287,0.9183076882284659,0.7521985333718348,0.228117835542539,0.24512808393710658,0.9658080055661825,0.8815817924613693,0.5187540272871651,0.6084912817708427
RandomForest,7,0.9327001571655273,0.78060083944164,0.4459981982110113,0.3283729347197463,0.3499092990654343,1.5827695578033487,1.3181543414800518,0.7331660256410261,0.8237868094536894
SupportVectorRegression,7,0.018213272094726562,-0.020694272756859977,0.026316887691619772,0.37165234480206055,0.6186477206499634,3.4138783924657594,1.7475092955997062,1.181238177908679,1.1572070467808429
KNearestNeighbors,7,0.0003707408905029297,-0.0850966386910168,0.2119385056699843,0.6862047450324885,0.5603795808192581,3.519933161785575,1.572138233808389,1.4830128205128204,1.161426841725641
LinearRegression,7,0.01995539665222168,0.27193950214882157,0.3291155357912616,0.6585090711120992,0.430247988830345,2.8832608967090585,1.4505561452014377,1.4308144520890609,1.0060365955511719
ArtificialNeuralNetwork,7,40.450406312942505,0.8779840114058796,0.423335389353805,0.3184746620063198,0.3971325835327852,1.1803439528095954,1.3448452883842965,0.7133152885314745,0.984298801261499
ProposedModel,7,347.77898359298706,0.9308431685967012,0.4634407499087886,0.22766031634559808,0.32903702108015637,0.8886234122297918,1.2972375727936796,0.5041781916832311,0.8552281269184342
XGBoost,8,12.802480697631836,0.4047244805988045,0.633233510176971,0.27630518774421153,0.3027809301075096,0.7322535711455194,1.161283203404901,0.5062142309470055,0.714882371844449
RandomForest,8,0.944577693939209,0.09550129765273796,0.7035043980480927,0.4128578927984463,0.3552307807470909,0.9026231359607259,1.0441248882727765,0.658577243589741,0.7016761037812687
SupportVectorRegression,8,0.0190737247467041,-0.3763926917650857,0.15341828670686097,0.416311362316487,0.5626647658465391,1.1134575541583622,1.7643216431886988,0.7650845994479157,1.114320666680898
KNearestNeighbors,8,0.0004165172576904297,-2.8929298342287635,0.10181354564375555,0.7320903028160232,0.9072185452356994,1.8725817010134855,1.8172997660372592,1.215790598290598,1.3901080989448718
LinearRegression,8,0.14615654945373535,-3.3083162579821783,0.5031752000324412,0.9377358940921752,0.4870271568550769,1.9699548609318447,1.3515899482828608,1.4287925587980856,0.9622165733112247
ArtificialNeuralNetwork,8,97.3386697769165,0.2819387286238536,0.565762342148485,0.27627885925160345,0.3632089456394973,0.8042354988806529,1.2635925650821866,0.5500843456158271,0.8166183416512874
ProposedModel,8,315.71796441078186,0.12267909000512689,0.6332907361061149,0.32755505657871553,0.31468367857620794,0.8889589920039689,1.1611926033847326,0.6162255256603925,0.7741309446706838
XGBoost,9,8.081580638885498,0.14710538974482668,0.5656971115388466,0.2913131228945666,0.3103679765870355,1.7510924049021577,0.9265282377334825,0.7037643126952342,0.6572072057932902
RandomForest,9,0.9840307235717773,0.7380754881883163,0.6003765558360593,0.3968919369987424,0.34824190881737077,0.9703970127343371,0.8887667121096732,0.6125977564102588,0.6384141430296354
SupportVectorRegression,9,0.018982887268066406,-0.0770035577788899,0.11681132412680917,0.445432862998428,0.6958433560959991,1.9677501235850856,1.3212623109642114,0.9460267021070514,0.9778295989431404
KNearestNeighbors,9,0.0004315376281738281,-1.3600924403180326,0.1460991254094941,1.0242806088609562,0.6271886770328907,2.912902084134804,1.2991701396607853,1.6570299145299145,1.0416528016987179
LinearRegression,9,0.01258230209350586,-0.27337401470467393,0.2107074730841274,0.748033678782818,0.5875541659359892,2.139633411096716,1.2490542354433767,1.3487218040432507,0.9278995559568047
ArtificialNeuralNetwork,9,158.0027618408203,0.8585561843546372,0.47895421003482674,0.2937551148405046,0.3675942889938123,0.7131048022727718,1.0148462388535622,0.49622950660876736,0.7506203727188973
ProposedModel,9,182.76597452163696,0.8009593559714374,0.38673945743680094,0.48596310089078226,0.5306367303089401,0.8459257858309878,1.1009936454399252,0.6939465063504685,0.8589817167669703
XGBoost,10,4.191265344619751,-0.4498260305404347,0.20892302545250718,0.6197842328011963,1.0584626392106735,1.0408517227321032,1.424927368794401,0.911630247137641,1.0863832247650476
RandomForest,10,0.8668003082275391,-0.7365216951768152,0.435932996150471,0.4176012109088758,0.44830814384998163,1.1391240619783924,1.2032301450420801,0.6525768361581907,0.8758747881713936
SupportVectorRegression,10,0.01819443702697754,-0.38458494641087837,-0.07122561544361239,0.3934145553901359,1.0031625425197614,1.0171633926062444,1.6581500589690605,0.7381190497086185,1.2683894309763082
KNearestNeighbors,10,0.0003380775451660156,-2.256337982150602,0.1427228546331667,0.5576744468762072,0.7627729687768456,1.5598960428069975,1.4833511718433334,0.9145009416195856,1.132284001737853
LinearRegression,10,0.013828516006469727,-2.9622693984254704,0.31813141355121144,0.7855904526486723,0.6922268987241303,1.720691126355282,1.3229203517385655,1.2551016697275774,1.1222839869477055
ArtificialNeuralNetwork,10,59.4156334400177,-0.20770516126786265,0.376203047253286,0.3511820646419332,0.5543525986331442,0.9499732582106042,1.2653334252845616,0.66792862253674,0.9820024736006063
