,properties.delay,properties.length,properties.level,properties.speed,properties.day_of_week,properties.weekday_weekend,X,Y,MaxInjuryS,CollisionT,CrashType,LightCondi,TrafficCon,Commercial,NumberOfFa,NumberOfIn,NumberOfOt,NumberOfSe,NumberOfVe,Intersecti,CountyName,CityTownNa,interstate_is_odd,year,day_sin,day_cos,month_sin,month_cos,hour_sin,hour_cos,minute_sin,minute_cos,curve,grade,WET,DRY,UNKNOWN,FLOODED WATER,SNOW/ICE,SLUSH,two_way,divided,protected_medium,CLOUDY,CLEAR,RAIN,SLEET/HAIL/FREEZING RAIN,SNOW
0,0.9166666666666666,1.606865406,1.0,41.209405777777775,3,0,-73.0898292702495,40.8150784186894,0,other,collision with tree,0,none,0,0,0,0,0,1,1,suffolk,brookhaven,1,2021,0.5712682150947923,0.8207634412072763,1.2246467991473532e-16,-1.0,-0.1361666490962464,-0.9906859460363308,-0.9714298932647099,-0.2373266998711151,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0.7166666666666667,1.468921044,1.0,43.12944594444445,3,0,-73.0898292702495,40.8150784186894,0,other,collision with tree,0,none,0,0,0,0,0,1,1,suffolk,brookhaven,1,2021,0.5712682150947923,0.8207634412072763,1.2246467991473532e-16,-1.0,-0.1361666490962464,-0.9906859460363308,-0.9714298932647099,-0.2373266998711151,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2,0.8833333333333333,1.468921044,1.0,39.95423388888889,3,0,-73.0898292702495,40.8150784186894,0,other,collision with tree,0,none,0,0,0,0,0,1,1,suffolk,brookhaven,1,2021,0.5712682150947923,0.8207634412072763,1.2246467991473532e-16,-1.0,-0.1361666490962464,-0.9906859460363308,-0.9714298932647099,-0.2373266998711151,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
3,1.7833333333333334,0.264082675,4.0,7.673946944444445,1,0,-73.6687508558052,40.9879078669021,0,rear end,collision with motor vehicle,0,none,0,0,0,0,0,2,1,westchester,rye,1,2021,0.9987165071710528,-0.05064916883871264,1.2246467991473532e-16,-1.0,0.3984010898462414,-0.917211301505453,-0.9714298932647099,-0.2373266998711151,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
4,1.6,0.382764536,3.0,11.420821444444444,4,0,-73.9648687583486,41.5211875598814,3,other,collision with earth element rock cut ditch,3,none,1,0,1,0,1,1,0,dutchess,fishkill,0,2021,0.7907757369376989,-0.6121059825476626,1.2246467991473532e-16,-1.0,0.2697967711570243,0.9629172873477994,0.9574220383620055,0.28869194733962117,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0
5,1.2166666666666666,0.7928693960000001,2.0,22.94727616666667,4,0,-73.9648687583486,41.5211875598814,3,other,collision with earth element rock cut ditch,3,none,1,0,1,0,1,1,0,dutchess,fishkill,0,2021,0.7907757369376989,-0.6121059825476626,1.2246467991473532e-16,-1.0,0.2697967711570243,0.9629172873477994,0.9574220383620055,0.28869194733962117,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0
6,2.966666666666667,0.792248025,3.0,12.21617788888889,4,0,-73.9648687583486,41.5211875598814,3,other,collision with earth element rock cut ditch,3,none,1,0,1,0,1,1,0,dutchess,fishkill,0,2021,0.7907757369376989,-0.6121059825476626,1.2246467991473532e-16,-1.0,0.2697967711570243,0.9629172873477994,0.9574220383620055,0.28869194733962117,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0
7,2.566666666666667,0.792248025,3.0,13.589410500000001,4,0,-73.9648687583486,41.5211875598814,3,other,collision with earth element rock cut ditch,3,none,1,0,1,0,1,1,0,dutchess,fishkill,0,2021,0.7907757369376989,-0.6121059825476626,1.2246467991473532e-16,-1.0,0.2697967711570243,0.9629172873477994,0.9574220383620055,0.28869194733962117,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0
8,1.0833333333333333,1.015941585,2.0,22.736009611111115,4,0,-73.9648687583486,41.5211875598814,3,other,collision with earth element rock cut ditch,3,none,1,0,1,0,1,1,0,dutchess,fishkill,0,2021,0.7907757369376989,-0.6121059825476626,1.2246467991473532e-16,-1.0,0.2697967711570243,0.9629172873477994,0.9574220383620055,0.28869194733962117,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0
9,1.5833333333333333,1.010349246,2.0,22.60552144444445,4,0,-73.9648687583486,41.5211875598814,3,other,collision with earth element rock cut ditch,3,none,1,0,1,0,1,1,0,dutchess,fishkill,0,2021,0.7907757369376989,-0.6121059825476626,1.2246467991473532e-16,-1.0,0.2697967711570243,0.9629172873477994,0.9574220383620055,0.28869194733962117,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0
10,2.183333333333333,0.116817748,4.0,2.9701592222222217,6,1,-73.9266778373967,40.8451115544523,1,rear end,collision with motor vehicle,1,none,0,0,1,1,0,2,0,bronx,bronx,1,2021,0.48530196253108104,-0.8743466161445821,1.2246467991473532e-16,-1.0,0.730835964278124,0.6825531432186541,-0.3641605752528223,-0.9313361774523384,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
11,1.85,0.116817748,4.0,3.454829555555556,6,1,-73.9266778373967,40.8451115544523,1,rear end,collision with motor vehicle,1,none,0,0,1,1,0,2,0,bronx,bronx,1,2021,0.48530196253108104,-0.8743466161445821,1.2246467991473532e-16,-1.0,0.730835964278124,0.6825531432186541,-0.3641605752528223,-0.9313361774523384,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
