properties.level,properties.speed,properties.day_of_week,properties.weekday_weekend,X,Y,MaxInjuryS,LightCondi,Commercial,NumberOfFa,NumberOfIn,NumberOfOt,NumberOfSe,NumberOfVe,Intersecti,interstate_is_odd,year,day_sin,day_cos,month_sin,month_cos,hour_sin,hour_cos,minute_sin,minute_cos,curve,grade,WET,DRY,UNKNOWN,FLOODED WATER,SNOW/ICE,SLUSH,two_way,divided,protected_medium,CLOUDY,CLEAR,RAIN,SLEET/HAIL/FREEZING RAIN,SNOW,CollisionT,CrashType,TrafficCon,CountyName,CityTownNa,properties.delay,properties.length,Predicted Delay,Predicted Length
1.0,38.37594844444445,4,0,-73.7587818438647,42.7891103717349,0,0,0,0,0,0,0,1,0,1,2022,0.72479278722912,0.6889669190756866,0.8660254037844386,0.5000000000000001,0.631087944326053,-0.7757112907044197,-0.9996456111234524,-0.0266205214377751,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,other,collision with sign post,none,albany,colonie,2.4166666666666665,3.763644147,1.6617548,2.0164528
4.0,3.386478611111112,4,0,-73.9319582186732,40.832358160156,2,0,1,0,2,2,0,2,0,1,2022,0.8486442574947509,0.5289640103269624,-0.8660254037844385,-0.5000000000000004,0.8169698930104421,-0.5766803221148671,0.7865515558026426,-0.6175246149461918,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,overtaking,collision with motor vehicle,none,bronx,bronx,1.8666666666666667,0.116817748,1.9552438,0.17617202
1.0,38.71770316666667,5,1,-73.7540821841612,42.6706641459873,0,0,0,0,0,0,0,2,0,0,2022,-0.3943558551133187,0.9189578116202306,0.4999999999999999,0.8660254037844387,0.1361666490962471,-0.9906859460363306,-0.9574220383620052,0.2886919473396213,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,rear end,collision with motor vehicle,none,albany,albany,1.0,1.797004932,1.498852,2.02007
1.0,45.1302645,3,0,-79.1882880360719,42.1306884166772,0,0,0,0,0,0,0,1,0,0,2022,0.5712682150947923,0.8207634412072763,0.8660254037844386,0.5000000000000001,0.1361666490962471,-0.9906859460363306,-0.9968120070307502,0.0797861055530826,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,other,collision with sign post,none,chautauqua,ellicott,1.9666666666666663,2.72781869,2.0956783,4.0768356
1.0,46.19902472222223,6,1,-76.0750611728276,42.5018858218199,0,0,0,0,0,0,0,1,0,1,2022,0.9680771188662044,-0.2506525322587204,0.4999999999999999,0.8660254037844387,0.3984010898462414,-0.917211301505453,0.6382441836448203,-0.769833983429906,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,other,collision with guide rail,none,cortland,virgil,2.0166666666666666,4.406763132,1.9711361,4.2432647
1.0,44.53374716666666,0,0,-76.084833617139,42.5253761967734,0,0,0,0,0,0,0,1,0,1,2022,-0.2993631229733582,-0.9541392564000488,0.4999999999999999,0.8660254037844387,0.9422609221188204,-0.3348796121709861,0.8993121301712192,-0.4373073204588553,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,other,collision with sign post,none,cortland,virgil,2.066666666666667,4.301751433,2.0124652,3.8493152
3.0,2.6843280000000003,2,0,-73.9306999373306,40.8193561213005,2,1,0,0,1,1,0,1,0,1,2022,-0.2993631229733582,-0.9541392564000488,-0.8660254037844385,-0.5000000000000004,0.5195839500354336,0.8544194045464886,-0.8993121301712191,-0.4373073204588555,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,other,collision with median barrier,none,bronx,bronx,2.083333333333333,0.116817748,2.0901415,0.4593159
1.0,35.989879111111115,4,0,-73.7150084981891,42.68919083233,1,0,0,0,1,1,0,2,0,0,2022,-0.9377521321470804,0.3473052528448203,0.8660254037844386,0.5000000000000001,-0.6310879443260528,-0.7757112907044198,0.2113826236296243,0.9774033898178668,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,overtaking,collision with motor vehicle,none,albany,menands,2.033333333333333,2.914851361,1.1860863,1.64883
1.0,36.319206388888894,1,0,-76.1809679026956,42.613797351003,0,0,0,0,0,0,0,2,0,1,2022,-0.651372482722222,-0.7587581226927911,0.8660254037844387,-0.4999999999999998,0.9976687691905392,-0.0682424133646708,-0.8477344278896709,-0.5304209081197426,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,rear end,collision with motor vehicle,none,cortland,cortlandville,1.1833333333333331,1.592573873,1.2203478,1.5755055
3.0,19.138264444444445,4,0,-76.1797711096833,42.6107147360236,0,0,0,0,0,0,0,1,0,1,2022,-0.9377521321470804,0.3473052528448203,0.8660254037844386,0.5000000000000001,0.8169698930104421,-0.5766803221148671,-0.5076658003388407,0.8615540813938056,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,other,collision with sign post,none,cortland,cortland,2.066666666666667,0.924600048,2.000936,0.80094105
