properties.level,properties.speed,properties.day_of_week,properties.weekday_weekend,X,Y,MaxInjuryS,LightCondi,Commercial,NumberOfFa,NumberOfIn,NumberOfOt,NumberOfSe,NumberOfVe,Intersecti,interstate_is_odd,year,day_sin,day_cos,month_sin,month_cos,hour_sin,hour_cos,minute_sin,minute_cos,curve,grade,WET,DRY,UNKNOWN,FLOODED WATER,SNOW/ICE,SLUSH,two_way,divided,protected_medium,CLOUDY,CLEAR,RAIN,SLEET/HAIL/FREEZING RAIN,SNOW,CollisionT,CrashType,TrafficCon,CountyName,CityTownNa,properties.delay,properties.length,Predicted Delay,Predicted Length
1.0,38.37594844444445,4,0,-73.7587818438647,42.7891103717349,0,0,0,0,0,0,0,1,0,1,2022,0.72479278722912,0.6889669190756866,0.8660254037844386,0.5000000000000001,0.631087944326053,-0.7757112907044197,-0.9996456111234524,-0.0266205214377751,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,other,collision with sign post,none,albany,colonie,2.4166666666666665,3.763644147,1.326428,2.6079981
4.0,3.386478611111112,4,0,-73.9319582186732,40.832358160156,2,0,1,0,2,2,0,2,0,1,2022,0.8486442574947509,0.5289640103269624,-0.8660254037844385,-0.5000000000000004,0.8169698930104421,-0.5766803221148671,0.7865515558026426,-0.6175246149461918,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,overtaking,collision with motor vehicle,none,bronx,bronx,1.8666666666666667,0.116817748,2.1367793,0.58092725
1.0,38.71770316666667,5,1,-73.7540821841612,42.6706641459873,0,0,0,0,0,0,0,2,0,0,2022,-0.3943558551133187,0.9189578116202306,0.4999999999999999,0.8660254037844387,0.1361666490962471,-0.9906859460363306,-0.9574220383620052,0.2886919473396213,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,rear end,collision with motor vehicle,none,albany,albany,1.0,1.797004932,1.1061226,2.4734905
1.0,45.1302645,3,0,-79.1882880360719,42.1306884166772,0,0,0,0,0,0,0,1,0,0,2022,0.5712682150947923,0.8207634412072763,0.8660254037844386,0.5000000000000001,0.1361666490962471,-0.9906859460363306,-0.9968120070307502,0.0797861055530826,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,other,collision with sign post,none,chautauqua,ellicott,1.9666666666666663,2.72781869,2.2074633,3.3403976
1.0,46.19902472222223,6,1,-76.0750611728276,42.5018858218199,0,0,0,0,0,0,0,1,0,1,2022,0.9680771188662044,-0.2506525322587204,0.4999999999999999,0.8660254037844387,0.3984010898462414,-0.917211301505453,0.6382441836448203,-0.769833983429906,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,other,collision with guide rail,none,cortland,virgil,2.0166666666666666,4.406763132,1.8761684,4.128032
1.0,44.53374716666666,0,0,-76.084833617139,42.5253761967734,0,0,0,0,0,0,0,1,0,1,2022,-0.2993631229733582,-0.9541392564000488,0.4999999999999999,0.8660254037844387,0.9422609221188204,-0.3348796121709861,0.8993121301712192,-0.4373073204588553,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,other,collision with sign post,none,cortland,virgil,2.066666666666667,4.301751433,2.3758724,4.800932
3.0,2.6843280000000003,2,0,-73.9306999373306,40.8193561213005,2,1,0,0,1,1,0,1,0,1,2022,-0.2993631229733582,-0.9541392564000488,-0.8660254037844385,-0.5000000000000004,0.5195839500354336,0.8544194045464886,-0.8993121301712191,-0.4373073204588555,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,other,collision with median barrier,none,bronx,bronx,2.083333333333333,0.116817748,1.9584804,0.7545383
1.0,35.989879111111115,4,0,-73.7150084981891,42.68919083233,1,0,0,0,1,1,0,2,0,0,2022,-0.9377521321470804,0.3473052528448203,0.8660254037844386,0.5000000000000001,-0.6310879443260528,-0.7757112907044198,0.2113826236296243,0.9774033898178668,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,overtaking,collision with motor vehicle,none,albany,menands,2.033333333333333,2.914851361,1.4086585,2.6029968
1.0,36.319206388888894,1,0,-76.1809679026956,42.613797351003,0,0,0,0,0,0,0,2,0,1,2022,-0.651372482722222,-0.7587581226927911,0.8660254037844387,-0.4999999999999998,0.9976687691905392,-0.0682424133646708,-0.8477344278896709,-0.5304209081197426,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,rear end,collision with motor vehicle,none,cortland,cortlandville,1.1833333333333331,1.592573873,1.1067984,1.9295686
3.0,19.138264444444445,4,0,-76.1797711096833,42.6107147360236,0,0,0,0,0,0,0,1,0,1,2022,-0.9377521321470804,0.3473052528448203,0.8660254037844386,0.5000000000000001,0.8169698930104421,-0.5766803221148671,-0.5076658003388407,0.8615540813938056,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,other,collision with sign post,none,cortland,cortland,2.066666666666667,0.924600048,2.3400364,1.6637999
1.0,37.916133,1,0,-75.9525417571703,42.3130423679543,0,1,0,0,0,0,0,1,0,1,2022,-0.651372482722222,-0.7587581226927911,0.8660254037844387,-0.4999999999999998,0.9976687691905392,-0.0682424133646708,-0.5076658003388407,0.8615540813938056,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,other,collision with earth element rock cut ditch,none,broome,barker,1.1166666666666667,1.568340404,2.173581,3.5097203
1.0,40.39540816666667,0,0,-78.808521246369,42.9977297266826,1,0,0,0,1,1,0,2,0,0,2022,-0.2993631229733582,-0.9541392564000488,0.4999999999999999,0.8660254037844387,-0.816969893010442,-0.5766803221148672,-0.8183027759081689,0.574787410214407,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,overtaking,collision with motor vehicle,none,erie,amherst,1.3166666666666669,2.602923119,1.2948366,3.087578
1.0,37.95962905555556,1,0,-76.1424959894385,43.0427110134928,0,2,0,0,0,0,0,2,2,0,2021,-0.9987165071710528,-0.0506491688387135,-0.5000000000000004,0.8660254037844384,0.9976687691905392,-0.0682424133646708,0.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,overtaking,collision with motor vehicle,traffic signal,onondaga,syracuse,1.1333333333333333,1.944269859,0.87594664,2.4243224
1.0,42.65720305555556,4,0,-73.8319673123051,42.7051831118957,0,0,0,0,0,0,0,2,0,1,2022,0.72479278722912,0.6889669190756866,0.8660254037844386,0.5000000000000001,0.631087944326053,-0.7757112907044197,0.4610925014493257,-0.8873520750565717,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,overtaking,collision with motor vehicle,none,albany,colonie,1.1666666666666667,2.476784806,1.7776858,4.363675
1.0,44.58345694444446,1,0,-73.4824586703069,44.7041887576719,0,1,0,0,0,0,0,1,0,1,2022,0.8486442574947509,0.5289640103269624,-0.4999999999999997,-0.8660254037844388,0.8878852184023752,0.4600650377311522,-0.8747630845319616,0.4845508703326496,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,other,collision with deer,none,clinton,plattsburgh,1.05,2.263654553,0.95393157,1.9240972
3.0,19.026417444444448,2,0,-78.7901353310965,42.8702468770824,0,3,0,0,0,0,0,2,0,0,2021,0.1011683219874327,-0.994869323391895,-2.4492935982947064e-16,1.0,-0.9422609221188204,-0.3348796121709864,-0.2113826236296253,0.9774033898178665,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,rear end,collision with motor vehicle,none,erie,west seneca,1.5333333333333334,0.721411731,2.1584835,2.9427447
4.0,14.962643111111111,0,0,-77.4852985180517,43.0789098572992,0,0,0,0,0,0,0,2,1,0,2021,-0.968077118866204,-0.2506525322587213,-0.5000000000000004,0.8660254037844384,-0.816969893010442,-0.5766803221148672,0.847734427889671,-0.5304209081197424,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,rear end,collision with motor vehicle,none,monroe,perinton,3.6166666666666663,1.168798851,3.6169307,1.5135866
1.0,46.82661066666667,0,0,-76.084833617139,42.5253761967734,0,0,0,0,0,0,0,1,0,1,2022,-0.2993631229733582,-0.9541392564000488,0.4999999999999999,0.8660254037844387,0.9422609221188204,-0.3348796121709861,0.8993121301712192,-0.4373073204588553,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,other,collision with sign post,none,cortland,virgil,2.45,5.580532951,2.1926997,4.8893065
2.0,32.68417888888889,4,0,-73.7290482156332,42.6713407570213,0,3,0,0,0,0,0,2,0,1,2021,-0.9884683243281114,0.1514277775045766,-2.4492935982947064e-16,1.0,0.9976687691905392,-0.0682424133646708,-0.9407002666710332,-0.3392388661180305,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,head on,collision with motor vehicle,none,albany,albany,1.3666666666666667,1.508688788,1.0753521,1.6668823
3.0,19.573225,2,0,-78.768194240908,42.884305340435,0,0,1,0,0,0,0,2,0,0,2022,-0.72479278722912,0.6889669190756865,0.8660254037844387,-0.4999999999999998,0.9422609221188204,-0.3348796121709861,-0.1590634960190718,-0.9872683547213446,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,sideswipe,collision with motor vehicle,none,erie,cheektowaga,1.4333333333333331,0.697178262,2.374638,1.4078405
1.0,43.13565966666666,4,0,-76.1797711096833,42.6107147360236,0,0,0,0,0,0,0,1,0,1,2022,-0.9377521321470804,0.3473052528448203,0.8660254037844386,0.5000000000000001,0.8169698930104421,-0.5766803221148671,-0.5076658003388407,0.8615540813938056,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,other,collision with sign post,none,cortland,cortland,2.816666666666667,5.688030134,1.5952963,4.1333823
4.0,7.773366500000001,3,0,-73.9875884944715,41.518553329173,0,0,0,0,0,0,0,2,0,0,2021,0.8486442574947509,0.5289640103269624,-0.8660254037844385,-0.5000000000000004,-0.6310879443260528,-0.7757112907044198,-0.678311836269616,0.7347741508630673,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,rear end,collision with motor vehicle,highway work area,dutchess,fishkill,19.53333333333333,2.859549342,19.234123,4.016742
1.0,43.70110838888889,4,0,-79.7404758602332,42.1312666714395,0,0,0,0,0,0,0,1,0,0,2021,-0.8486442574947509,0.5289640103269624,-0.5000000000000004,0.8660254037844384,-0.3984010898462415,-0.9172113015054528,0.1590634960190721,-0.9872683547213446,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,other,collision with guide rail,none,chautauqua,mina,3.066666666666667,6.413791462,3.711687,7.864401
1.0,43.42149088888889,6,1,-73.5964338121363,41.3933539582094,0,3,0,0,0,0,0,2,1,0,2021,-0.5712682150947924,0.8207634412072763,-0.5000000000000004,0.8660254037844384,-0.9976687691905392,-0.0682424133646704,0.5963673585385013,0.8027116379309637,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,rear end,collision with motor vehicle,none,putnam,southeast,0.8,1.599408954,1.0371238,2.489067
1.0,41.209405777777775,3,0,-73.0898292702495,40.8150784186894,0,0,0,0,0,0,0,1,1,1,2021,0.5712682150947923,0.8207634412072763,1.2246467991473532e-16,-1.0,-0.1361666490962464,-0.9906859460363308,-0.97142989326471,-0.2373266998711151,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,other,collision with tree,none,suffolk,brookhaven,0.9166666666666666,1.606865406,0.63009226,1.943981
4.0,3.454829555555556,6,1,-73.9266778373967,40.8451115544523,1,1,0,0,1,1,0,2,0,1,2021,0.485301962531081,-0.8743466161445821,1.2246467991473532e-16,-1.0,0.730835964278124,0.6825531432186541,-0.3641605752528223,-0.9313361774523384,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,rear end,collision with motor vehicle,none,bronx,bronx,1.85,0.116817748,2.110621,0.78001523
1.0,41.209405777777775,4,0,-73.8319673123051,42.7051831118957,0,0,0,0,0,0,0,2,0,1,2022,0.72479278722912,0.6889669190756866,0.8660254037844386,0.5000000000000001,0.631087944326053,-0.7757112907044197,0.4610925014493257,-0.8873520750565717,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,overtaking,collision with motor vehicle,none,albany,colonie,1.3666666666666667,2.72160498,1.8088809,4.3062277
2.0,24.90459866666667,3,0,-73.6664620223871,40.9884260556444,2,0,0,0,1,1,0,1,1,1,2021,0.20129852008866,0.9795299412524944,-0.4999999999999997,-0.8660254037844388,-0.6310879443260528,-0.7757112907044198,0.9407002666710332,-0.3392388661180303,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,other,collision with guiderail end,none,westchester,port chester,1.9,1.363909345,1.1515417,1.4346421
1.0,34.32460155555555,1,0,-76.1809679026956,42.613797351003,0,0,0,0,0,0,0,2,0,1,2022,-0.651372482722222,-0.7587581226927911,0.8660254037844387,-0.4999999999999998,0.9976687691905392,-0.0682424133646708,-0.8477344278896709,-0.5304209081197426,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,rear end,collision with motor vehicle,none,cortland,cortlandville,1.35,1.624263794,1.2045563,1.8515729
2.0,34.58557788888889,4,0,-73.8673067093488,41.524989509963,0,0,0,0,0,0,0,1,0,0,2022,-0.9377521321470804,0.3473052528448203,0.8660254037844386,0.5000000000000001,0.631087944326053,-0.7757112907044197,-2.4492935982947064e-16,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,other,collision with earth element rock cut ditch,none,dutchess,fishkill,1.8333333333333333,2.220158583,2.6148343,3.215431
1.0,43.88752005555556,5,1,-73.734574100181,41.5485935907741,0,0,0,0,0,0,0,1,0,0,2022,-0.3943558551133187,0.9189578116202306,0.4999999999999999,0.8660254037844387,-0.816969893010442,-0.5766803221148672,-0.1590634960190718,-0.9872683547213446,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,other,collision with sign post,none,dutchess,east fishkill,1.6166666666666667,3.524416312,1.4927,3.4987643
3.0,3.423760944444445,2,0,-73.9306999373306,40.8193561213005,2,1,0,0,1,1,0,1,0,1,2022,-0.2993631229733582,-0.9541392564000488,-0.8660254037844385,-0.5000000000000004,0.5195839500354336,0.8544194045464886,-0.8993121301712191,-0.4373073204588555,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,other,collision with median barrier,none,bronx,bronx,1.5166666666666666,0.116817748,1.9549072,0.7642329
1.0,36.45590827777778,3,0,-73.7593778483681,42.7898211447844,2,0,0,0,2,2,0,1,0,1,2022,-0.2993631229733582,-0.9541392564000488,1.0,6.123233995736766e-17,-0.6310879443260528,-0.7757112907044198,0.7164567402983153,-0.6976315211349846,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,other,collision with sign post,none,albany,colonie,1.15,1.529194031,1.4729036,2.576365
1.0,36.30056522222223,0,0,-76.1424350582597,43.0427090103953,0,2,0,0,0,0,0,2,2,1,2022,-0.5712682150947924,0.8207634412072763,1.0,6.123233995736766e-17,0.9790840876823228,0.2034560130526337,-0.3140767120219489,0.9493976084683812,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,right angle,collision with motor vehicle,none,onondaga,syracuse,1.65,2.807354178,1.5409578,2.9066575
3.0,12.21617788888889,0,0,-73.6958007517611,40.9786235844964,0,2,0,0,0,0,0,2,1,1,2021,-0.5712682150947924,0.8207634412072763,1.2246467991473532e-16,-1.0,-0.2697967711570252,0.962917287347799,-0.8183027759081689,0.574787410214407,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,overtaking,collision with motor vehicle,none,westchester,rye,1.8166666666666669,0.462300024,1.8533875,1.3551112
