properties.level,properties.speed,properties.day_of_week,properties.weekday_weekend,X,Y,MaxInjuryS,LightCondi,Commercial,NumberOfFa,NumberOfIn,NumberOfOt,NumberOfSe,NumberOfVe,Intersecti,interstate_is_odd,year,day_sin,day_cos,month_sin,month_cos,hour_sin,hour_cos,minute_sin,minute_cos,curve,grade,WET,DRY,UNKNOWN,FLOODED WATER,SNOW/ICE,SLUSH,two_way,divided,protected_medium,CLOUDY,CLEAR,RAIN,SLEET/HAIL/FREEZING RAIN,SNOW,CollisionT,CrashType,TrafficCon,CountyName,CityTownNa,properties.delay,properties.length,Predicted Delay,Predicted Length
1.0,39.89209666666667,4,0,-73.8188082194168,42.6905365304508,0,3,0,0,0,0,0,1,0,0,2022,0.72479278722912,0.6889669190756866,0.8660254037844386,0.5000000000000001,-0.9976687691905392,-0.0682424133646704,0.5528000653611936,-0.8333139190825148,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,other,collision with other barrier,none,albany,albany,1.8666666666666667,3.503911069,1.1908500000000024,2.6533535893600173
3.0,15.422458555555558,3,0,-73.8263400288737,40.8544714512574,1,0,0,0,1,1,0,2,0,1,2022,-2.4492935982947064e-16,1.0,1.0,6.123233995736766e-17,-0.9422609221188204,-0.3348796121709864,-0.9968120070307502,0.0797861055530826,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,rear end,collision with motor vehicle,none,bronx,bronx,2.6166666666666667,0.91962908,1.8007833333333239,1.0104902972170118
1.0,42.07311316666667,5,1,-76.0422069006089,42.4571389296367,0,0,0,0,0,0,0,1,0,1,2022,0.6513724827222223,-0.758758122692791,1.0,6.123233995736766e-17,0.8169698930104421,-0.5766803221148671,-0.8183027759081689,0.574787410214407,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,other,collision with earth element rock cut ditch,none,cortland,marathon,1.0166666666666666,1.824966627,1.904216666666667,3.5631917265130135
1.0,46.92603022222221,0,0,-75.5260340597308,42.2020580977804,0,3,0,0,0,0,0,1,0,0,2022,-0.2993631229733582,-0.9541392564000488,0.4999999999999999,0.8660254037844387,0.730835964278124,0.6825531432186541,-0.4132121857683782,0.9106347728549132,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,other,collision with guide rail,none,chenango,afton,1.4666666666666666,3.694050595,1.6731499999999717,3.968584108849047
1.0,38.74255805555556,5,1,-75.9821163669396,42.3460793348047,0,0,0,0,0,0,0,1,0,1,2022,0.6513724827222223,-0.758758122692791,1.0,6.123233995736766e-17,-0.816969893010442,-0.5766803221148672,0.0532221748421787,-0.998582695676762,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,other,collision with guide rail,none,broome,triangle,1.25,1.83925816,1.5834833333333356,2.718245848374016
4.0,7.860358611111112,4,0,-78.9379526669586,42.9989527909613,1,2,0,0,1,1,0,2,0,0,2021,0.485301962531081,-0.8743466161445821,-0.8660254037844385,-0.5000000000000004,-2.4492935982947064e-16,1.0,0.3641605752528221,-0.9313361774523384,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,rear end,collision with motor vehicle,none,erie,grand island,9.233333333333333,1.403677089,6.818833333333433,1.2388211489899954
1.0,42.023403388888894,4,0,-73.7241219315392,42.678347720155,0,0,0,0,0,0,0,1,0,1,2022,-0.9377521321470804,0.3473052528448203,0.8660254037844386,0.5000000000000001,0.1361666490962471,-0.9906859460363306,0.6783118362696161,0.7347741508630673,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,other,collision with sign post,none,albany,menands,1.0333333333333334,2.186604549,1.2132166666666644,2.39502853804599
1.0,45.4658055,1,0,-79.1781134157076,42.1366722884216,0,0,0,0,0,0,0,2,0,0,2022,-0.4853019625310808,-0.8743466161445822,0.4999999999999999,0.8660254037844387,0.631087944326053,-0.7757112907044197,-0.8747630845319616,0.4845508703326496,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,overtaking,collision with motor vehicle,none,chautauqua,poland,1.9333333333333331,4.547192978,1.9653500000000013,3.192138169750007
2.0,32.20572227777778,4,0,-75.6645956824931,42.1973058896103,0,0,0,0,0,0,0,1,0,0,2022,0.72479278722912,0.6889669190756866,0.8660254037844386,0.5000000000000001,-0.6310879443260528,-0.7757112907044198,-0.678311836269616,0.7347741508630673,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,other,collision with snow embankment,none,broome,colesville,2.8666666666666667,2.931628378,2.3783833333333293,2.992051736781995
1.0,38.66177966666668,0,0,-73.6929204167782,41.5227729275796,0,3,0,0,0,0,0,1,0,0,2022,-0.2993631229733582,-0.9541392564000488,0.4999999999999999,0.8660254037844387,0.2697967711570243,0.9629172873477994,-0.5076658003388407,0.8615540813938056,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,other,collision with guide rail,none,dutchess,east fishkill,1.4333333333333331,2.194682372,6.0150166666667015,8.98318167361398
